8 25 17 11 9 27 2 5 0 6.1502548682707765
8 26 17 28 12 16 7 5 0 6.442164139920466
8 28 24 21 1 14 26 18 0 5.891789581088382
8 22 18 28 1 16 17 19 0 6.202707679841062
8 28 3 8 10 7 2 19 0 6.7038638009041875
8 22 16 8 1 9 27 15 0 5.750590997035756
8 27 26 11 7 16 6 10 0 5.882436509557843
8 22 24 6 7 20 19 5 0 6.938168886140312
8 24 1 15 4 23 11 5 0 6.037972185392647
7 5 24 8 18 20 19 0 5.3833611501764
8 28 3 27 14 20 26 25 0 6.326167162626081
8 27 3 11 14 7 6 25 0 5.956706754841591
8 27 26 22 15 9 20 23 0 5.681104000219332
7 18 6 28 10 26 19 0 5.1004054674522745
4 21 15 10 0 2.302149886816794
8 21 3 8 14 7 6 11 0 6.315068963456042
8 25 28 22 21 15 7 18 0 6.055548272660928
8 21 26 3 12 4 6 5 0 6.3862102685294015
4 5 13 24 0 2.005804110866109
7 4 14 21 18 2 6 0 5.081512707846303
8 18 24 8 1 13 6 17 0 5.86930129642675
8 28 17 6 14 20 2 23 0 5.966999250261058
8 26 17 27 4 7 6 25 0 5.95515535181851
4 2 10 8 0 2.3684316412558215
8 22 26 21 1 17 6 19 0 6.364164311971445
8 24 17 27 10 13 6 22 0 5.386376593257555
3 20 5 0 2.399871394054674
8 25 3 22 18 15 19 12 0 6.121593880843838
8 20 17 8 23 3 13 5 0 6.25144514246653
8 28 18 10 21 23 26 19 0 6.563459326094836
8 21 27 8 15 4 17 18 0 5.4359442645406055
8 20 14 6 1 16 2 19 0 6.588313307561691
8 22 24 8 15 9 20 19 0 6.93815957539945
8 20 3 15 1 18 13 12 0 6.123805685010012
4 2 26 15 0 2.295716680664473
8 15 13 8 12 9 11 19 0 6.168101836415568
8 27 17 3 7 16 13 19 0 5.80973042083828
8 27 17 15 4 16 22 25 0 5.480274529988165
4 16 26 27 0 1.9696403621779175
8 18 16 14 15 8 26 3 0 5.965335578559069
8 27 24 6 16 2 13 19 0 5.6181987758719725
8 25 14 28 7 23 3 5 0 6.484986024117358
8 28 3 24 10 22 2 19 0 6.257323994694547
3 22 17 0 2.4649346441710005
8 18 14 11 4 9 12 25 0 6.161867221865858
8 18 17 10 14 27 13 12 0 6.209549847617863
8 27 17 11 14 2 13 19 0 5.530217509632132
4 6 24 27 0 2.09951879528921
8 15 14 1 4 7 13 5 0 6.243264468563295
8 25 14 1 4 23 18 5 0 5.982158497452387
8 28 6 11 10 27 2 18 0 5.604941019677371
8 27 26 8 7 16 2 11 0 5.788971987530383
6 2 17 28 21 8 0 4.455334609736104
8 28 20 8 9 23 6 19 0 6.491992915365675
8 28 14 8 4 23 13 5 0 6.5643048412033185
8 28 24 8 10 2 6 5 0 6.2528050270642
8 25 26 8 10 20 7 12 0 6.792804988636634
8 25 24 27 1 4 7 17 0 5.829636434634692
8 21 17 27 15 2 11 18 0 5.6727556510917285
3 11 10 0 1.699813237265178
8 25 16 8 7 23 2 22 0 6.671421321165639
8 21 27 11 7 13 6 12 0 6.088994070329646
8 27 24 8 14 16 11 17 0 5.502419241771879
8 28 1 10 4 23 27 19 0 6.029615507833258
8 26 16 10 15 8 11 19 0 6.224169389709623
8 21 17 8 1 15 14 25 0 5.9240545061781695
8 24 3 11 21 7 6 19 0 6.602683188868195
8 28 3 8 14 23 26 25 0 6.611023508458228
8 25 16 10 15 9 11 5 0 6.690405175592346
8 21 15 11 12 23 6 5 0 6.446068131782463
8 28 17 3 4 20 26 23 0 6.170522432309637
8 27 18 15 12 16 26 25 0 5.689467549805471
8 28 24 27 21 20 6 5 0 6.441008482810346
8 28 24 8 15 20 6 5 0 6.531333223584669
8 17 14 6 23 2 13 12 0 6.05711590070727
8 28 27 21 9 23 6 12 0 6.196932685564059
8 26 13 21 1 9 2 23 0 5.651368440897482
8 27 1 8 9 20 6 23 0 5.670356832976118
3 4 8 0 2.325246825030301
8 27 16 23 9 20 13 19 0 6.178800112480118
8 28 3 27 21 23 26 5 0 6.537284067324167
8 21 17 8 14 20 11 12 0 6.589474009153424
8 27 3 24 10 7 26 5 0 6.151883458520244
8 18 17 8 4 20 11 5 0 6.707440847212146
8 28 3 11 9 26 2 21 0 6.215224214256532
8 22 24 11 1 2 13 17 0 6.148610804302031
8 25 3 11 21 14 19 5 0 6.33716700889347
3 17 19 0 1.9045050062020827
8 18 13 8 7 2 6 23 0 5.892047004301128
8 25 17 10 12 16 7 5 0 6.873671776242105
8 20 17 23 12 2 11 19 0 6.398049847296061
2 20 0 0.9994757466760343
8 15 14 10 1 9 4 25 0 5.918881814907529
8 27 26 15 18 9 7 25 0 5.650663801432586
8 21 19 3 4 23 13 5 0 6.2680416269952826
8 28 24 15 1 27 13 19 0 5.990252869289559
8 24 1 8 9 23 7 10 0 6.134322905095983
8 17 23 15 12 7 11 5 0 6.408016747348244
8 25 14 10 9 20 13 21 0 6.709161256594365
8 25 26 10 20 2 13 19 0 6.626687852799208
8 24 1 10 18 16 19 12 0 6.184468945397539
8 27 24 8 10 23 22 5 0 5.859155506984816
8 26 3 10 9 23 17 25 0 6.085509387763475
8 28 6 27 21 16 19 25 0 6.23740522753579
8 28 26 27 21 7 2 25 0 6.44279183275918
8 16 14 3 1 12 26 5 0 5.7970705592548235
4 7 6 27 0 2.122898886706477
8 22 24 8 1 15 21 5 0 6.147025222126633
5 4 13 21 23 0 3.5993481459588743
8 21 16 10 1 3 26 12 0 6.59487888288403
8 17 28 11 15 8 2 12 0 6.325430149242175
8 21 28 8 15 16 17 12 0 6.255162508326489
8 24 3 8 1 23 19 21 0 6.410075692450221
8 25 14 8 15 20 2 12 0 6.610328416424528
8 25 17 8 14 16 26 11 0 6.151503255114523
8 28 24 27 12 26 2 22 0 5.949451195410365
8 27 3 22 18 23 17 5 0 5.448649607846104
8 25 18 10 15 7 19 12 0 6.3772569455322685
8 28 17 15 7 23 6 18 0 5.923952483634963
8 16 24 6 9 2 13 5 0 6.055318785023584
8 22 17 20 12 4 2 19 0 6.704537701452532
8 23 3 14 1 9 2 19 0 5.867061169123518
8 26 17 27 9 5 6 25 0 5.49559194229265
8 26 14 15 9 23 6 19 0 6.036419427702947
8 22 24 21 1 9 2 12 0 6.960029239678738
8 28 27 15 9 23 11 25 0 6.012493244568068
8 28 17 10 18 27 6 19 0 5.935263732840728
8 25 28 10 18 23 20 12 0 6.685506462991185
8 20 14 3 1 4 7 25 0 6.347872015258094
8 28 3 15 4 7 2 25 0 6.513722426860085
8 17 24 10 4 16 13 5 0 6.994286372882295
