3 13 16 0 1.873972084354387
10 28 26 17 3 1 13 15 16 8 0 7.032255615781931
10 27 23 22 2 1 13 15 21 7 0 6.091254868364859
3 19 27 0 1.57929500709617
10 26 22 16 18 2 13 15 14 9 0 7.251110148768769
10 28 27 19 3 1 13 6 4 9 0 7.160078644965565
10 27 26 23 14 12 22 7 21 9 0 6.570315954780239
10 28 27 22 25 2 10 8 14 12 0 6.725330591634973
10 26 23 17 14 16 2 19 1 12 0 6.574401246501996
6 10 5 13 19 2 0 3.7953290379236693
7 21 28 23 11 3 7 0 4.859680955678348
10 28 26 22 3 1 5 21 4 17 0 6.759737826087871
10 28 18 17 3 6 7 8 4 9 0 6.552933047842682
10 27 25 17 20 16 5 15 14 10 0 5.6229904935164114
10 28 26 23 25 12 20 19 14 9 0 6.798406157352118
10 25 18 17 14 16 5 15 11 9 0 5.982166635207921
7 8 4 5 18 1 7 0 5.025790370143625
10 27 26 16 25 3 5 7 4 9 0 6.634569361945244
10 27 26 23 10 1 4 15 14 20 0 6.520463804220266
10 26 25 24 4 3 22 17 21 20 0 6.741994278532314
10 28 26 24 25 5 4 17 11 10 0 6.955136675257139
10 28 26 24 18 3 5 15 9 20 0 7.187613541877536
10 26 22 16 14 12 4 5 11 20 0 6.203660826568401
10 25 24 23 14 2 3 5 16 10 0 6.478119121766267
10 28 24 19 18 3 13 6 5 12 0 6.218455595944177
7 15 4 13 20 6 21 0 4.696064740353428
3 23 4 0 1.9201770454791447
3 15 24 0 1.8765181749977558
10 28 23 16 19 3 7 15 1 10 0 7.532844780158627
10 27 25 24 11 6 22 17 16 12 0 6.227135161127687
10 27 25 21 2 9 13 15 8 19 0 5.580682102291204
10 27 26 22 3 2 4 1 11 20 0 6.3389612093785885
10 28 27 22 3 2 13 5 11 12 0 6.826956129687304
10 27 26 24 25 9 23 15 8 10 0 6.285295052826756
5 9 6 7 17 0 2.444419118454807
10 26 23 21 14 6 17 15 11 8 0 6.083507407375648
10 26 23 22 2 6 11 17 16 20 0 6.923769985458393
10 24 22 13 10 6 5 8 2 20 0 6.170355421696326
